HUC8,Year,Month,PPT,TMAX,USDM
7060003,2012,1,-0.839399088,-1.281351263,0
7060003,2012,2,-0.890393406,-1.11070456,0
7060003,2012,3,-0.275908915,0.055638749,0
7060003,2012,4,-0.129533941,0.005447618,0
7060003,2012,5,0.216393501,0.806782355,0
7060003,2012,6,-0.777755413,1.094713929,0.441229947
7060003,2012,7,-0.565143057,1.535844393,2.499641711
7060003,2012,8,-0.524120669,1.138344368,2.688363636
7060003,2012,9,-0.137794623,0.728676263,2.645192513
7060003,2012,10,0.246635332,-0.001336154,2.259345455
7060003,2012,11,-0.748789021,-0.587425558,1.005989305
7060003,2012,12,-0.426185105,-1.129008418,1.005989305
7060003,2013,1,-0.349653277,-1.441349357,1.004791444
7060003,2013,2,-0.588763936,-1.505140884,1
7060003,2013,3,-0.365498743,-1.206056165,0.263508021
7060003,2013,4,1.732485095,-0.355418867,0.156973801
7060003,2013,5,1.253239616,0.531423054,0
7060003,2013,6,2.162181879,0.867112095,0
7060003,2013,7,-0.382173573,1.098360391,0
7060003,2013,8,-0.228271664,1.088375951,0
7060003,2013,9,-0.23281611,0.853808639,0.311712516
7060003,2013,10,-0.693966789,0.045278163,0.012793935
7060003,2013,11,-0.229700379,-0.841371559,0
7060003,2013,12,-0.870369137,-1.697347007,0
7060003,2014,1,-0.892092637,-1.91845663,0
7060003,2014,2,-0.811526263,-1.951530224,0
7060003,2014,3,-0.672020573,-1.170903892,0
7060003,2014,4,1.189358152,-0.136352729,0
7060003,2014,5,-0.464475148,0.470776566,0
7060003,2014,6,2.175656397,1.001913891,0
7060003,2014,7,-0.316341824,0.907625066,0
7060003,2014,8,0.281405669,1.041085262,0
7060003,2014,9,-0.258042562,0.66265181,0
7060003,2014,10,-0.060496483,-0.01570548,0
7060003,2014,11,-0.830156517,-1.085664555,0
7060003,2014,12,-0.879461577,-1.262836319,0
7060003,2015,1,-1.103655451,-1.619280574,0
7060003,2015,2,-0.931673468,-1.909816591,0
7060003,2015,3,-0.884511746,-0.773217257,0
7060003,2015,4,-0.072604513,0.103499266,0
7060003,2015,5,0.625209415,0.489796263,0
7060003,2015,6,1.014121055,0.862157774,0
7060003,2015,7,-0.443226429,1.029961395,0
7060003,2015,8,0.155353494,0.964117184,0.451240642
7060003,2015,9,0.207945601,0.939038004,0
7060003,2015,10,-0.212329296,0.162029633,0
7060003,2015,11,0.57933512,-0.441984154,0
7060003,2015,12,0.718556228,-0.906300494,0
7060003,2016,1,-1.05305503,-1.642458605,0
7060003,2016,2,-1.028016482,-1.261202753,0
7060003,2016,3,0.517688312,-0.49185263,0
7060003,2016,4,-0.796253236,-0.058011724,0
7060003,2016,5,0.506882152,0.515534019,0
7060003,2016,6,1.695562521,1.049649601,0
7060003,2016,7,2.155483517,1.071270335,0
7060003,2016,8,1.289713284,1.094944767,0
7060003,2016,9,0.789021694,0.80869401,0
7060003,2016,10,-0.434611668,0.23601214,0
7060003,2016,11,-0.374558988,-0.230913767,0
7060003,2016,12,-0.534307556,-1.534620462,0
7060003,2017,1,-0.339363234,-1.478203652,0
7060003,2017,2,-0.84332591,-0.856101696,0
7060003,2017,3,-0.151493538,-0.751577874,0
7060003,2017,4,0.405793552,0.065797899,0
7060003,2017,5,0.561072774,0.363277233,0
7060003,2017,6,1.372950746,1.045684207,0
7060003,2017,7,3.055387388,1.108241217,0
7060003,2017,8,-0.618923526,0.878048002,0
7060003,2017,9,-0.807750676,0.905100291,0.197743316
7060003,2017,10,1.070818234,0.169636937,0
7060003,2017,11,-1.025384591,-0.755892383,0
7060003,2017,12,-1.10615238,-1.383819242,0
7060003,2018,1,-0.873242365,-1.590203641,0
7060003,2018,2,-0.433972127,-1.481914577,0
7060003,2018,3,-0.886115171,-0.751462883,0
7060003,2018,4,-0.530774554,-0.567941226,0
7060003,2018,5,1.621049711,0.829102395,0
7060003,2018,6,1.528198556,0.980262751,0
7060003,2018,7,0.581307195,1.145754599,0
7060003,2018,8,1.90224358,1.052876177,0
7060003,2018,9,3.766672081,0.76608196,0
7060003,2018,10,2.520686334,-0.124035052,0
7060003,2018,11,-0.416953294,-1.115043412,0
7060003,2018,12,-0.563850124,-1.162083891,0
7060003,2019,1,-0.128376574,-1.712378953,0
7060003,2019,2,-0.104152037,-1.628916378,0
7060003,2019,3,-0.754429393,-1.000385388,0
7060003,2019,4,0.273086553,-0.095898246,0
7060003,2019,5,1.323444394,0.292717189,0
7060003,2019,6,0.788264469,0.886776777,0
7060003,2019,7,1.666524113,1.243106207,0
7060003,2019,8,0.37624253,0.937199382,0
7060003,2019,9,4.883289561,0.742307871,0
7060003,2019,10,1.444465032,-0.156961968,0
7060003,2019,11,-0.446845533,-1.091215022,0
7060003,2019,12,-0.53560422,-1.055929247,0
7060003,2020,1,-0.735568859,-1.387830303,0
7060003,2020,2,-0.949315763,-1.370108414,0
7060003,2020,3,0.264172407,-0.660295408,0
7060003,2020,4,-0.706421898,-0.194360831,0
7060003,2020,5,0.715430292,0.328899712,0
7060003,2020,6,1.929649298,1.057542071,0
7060003,2020,7,0.648507419,1.255590233,0
7060003,2020,8,-0.263619573,1.113796854,0
7060003,2020,9,1.615182016,0.544653816,0
7060003,2020,10,0.343543957,-0.189772505,0
7060003,2020,11,-0.48577539,-0.329479577,0
7060003,2020,12,-0.783547342,-1.213024536,0
7060003,2021,1,-0.750958618,-1.494803843,0
7060003,2021,2,-0.950851006,-1.899300161,0
7060003,2021,3,-0.30331958,-0.499433464,0
7060003,2021,4,-0.796470855,-0.028321859,0.159149733
7060003,2021,5,-0.219471294,0.423738903,0.395411765
7060003,2021,6,-0.33496046,1.184113506,1.059696257
7060003,2021,7,0.584491127,1.112803083,1.016085561
7060003,2021,8,0.624638653,1.156982154,0.846545455
7060003,2021,9,-0.531944347,0.859136031,0.465491979
7060003,2021,10,0.318753297,0.279411599,0.311251337
7060003,2021,11,-0.991601137,-0.643262803,0.311251337
7060003,2021,12,-0.705052433,-1.005960231,0.311251337
7060003,2022,1,-1.088810617,-1.858624551,0.36697861
7060003,2022,2,-1.232736334,-1.48344447,0.883540107
7060003,2022,3,0.425400973,-0.7617469,0.857514439
7060003,2022,4,0.275685542,-0.417896305,0.341002765
7060003,2022,5,-0.090473091,0.571048897,0
7060003,2022,6,-0.037364896,1.013995197,0.037682709
7060003,2022,7,1.648487214,1.1320912,0.200829455
7060003,2022,8,0.896729376,0.989755069,0
7060003,2022,9,-0.891347598,0.698652732,0
7060003,2022,10,-0.813703286,0.121831416,0.489834225
7060003,2022,11,0.205257667,-0.55720213,0
7060003,2022,12,-0.269290821,-1.514397389,0
10240013,2012,1,-1.217860714,-0.88346399,0
10240013,2012,2,-0.163440877,-0.85309037,0
10240013,2012,3,0.397894778,0.32602462,0
10240013,2012,4,0.501782101,0.417159881,0
10240013,2012,5,0.099665388,0.964584886,0
10240013,2012,6,0.316886119,1.240031243,0.350965647
10240013,2012,7,-0.803830474,1.748517868,1.466238668
10240013,2012,8,0.553504125,1.376509791,2.201995354
10240013,2012,9,-0.661860037,0.896122338,2.122374746
10240013,2012,10,-0.12038921,0.204396375,1.674826596
10240013,2012,11,-0.735217855,-0.240362341,1.507032939
10240013,2012,12,-0.824237828,-0.921488104,1.540310353
10240013,2013,1,-0.905937824,-1.067087321,1.540310353
10240013,2013,2,-0.842434914,-1.108478952,1.540310353
10240013,2013,3,-0.798212714,-0.847951087,1.508081427
10240013,2013,4,1.26355311,-0.118250058,1.057521696
10240013,2013,5,1.595664162,0.558138386,0.289229043
10240013,2013,6,0.513337735,0.972889525,0
10240013,2013,7,-0.77163602,1.233822057,0.296486757
10240013,2013,8,-0.749402438,1.264356826,0.676767106
10240013,2013,9,-0.125619739,1.086817384,0.985756686
10240013,2013,10,-0.168619135,0.227790333,0.955098881
10240013,2013,11,-0.680098144,-0.585059382,0.745491499
10240013,2013,12,-0.99286768,-1.360479374,0.624479788
10240013,2014,1,-1.211024178,-1.344354433,0.624479788
10240013,2014,2,-0.672897845,-1.555679043,0.658345247
10240013,2014,3,-0.988764985,-0.623746592,0.783817789
10240013,2014,4,0.166912115,0.177633816,0.782656386
10240013,2014,5,0.201231883,0.66895166,0.724263638
10240013,2014,6,2.284071582,1.064278922,0
10240013,2014,7,0.262303938,1.071676852,0
10240013,2014,8,2.791203834,1.107527906,0
10240013,2014,9,0.598459218,0.749392434,0
10240013,2014,10,0.688337666,0.336564564,0
10240013,2014,11,-1.180138654,-0.790897324,0
10240013,2014,12,-0.863424525,-1.085319491,0
10240013,2015,1,-1.279988021,-1.083601718,0
10240013,2015,2,-0.682927237,-1.439575659,0
10240013,2015,3,-0.877436782,-0.233513028,0
10240013,2015,4,0.034266885,0.259900252,0
10240013,2015,5,2.268318765,0.523346702,0
10240013,2015,6,1.72467014,1.083240209,0
10240013,2015,7,3.714242323,1.204394278,0
10240013,2015,8,0.913029093,1.081326666,0
10240013,2015,9,1.204794266,1.020613892,0
10240013,2015,10,-0.790704072,0.332700709,0.062519911
10240013,2015,11,0.488246054,-0.19284096,0.026758931
10240013,2015,12,0.677667185,-0.806902721,0
10240013,2016,1,-1.026419492,-1.354911124,0
10240013,2016,2,-1.005593426,-0.758688973,0
10240013,2016,3,-0.538683157,-0.058633025,0
10240013,2016,4,1.177966564,0.229419253,0
10240013,2016,5,0.995585719,0.566127973,0
10240013,2016,6,-0.315264242,1.344715905,0
10240013,2016,7,1.422616778,1.224068008,0
10240013,2016,8,1.863072615,1.177174367,0
10240013,2016,9,0.443172654,0.996550362,0
10240013,2016,10,-0.57647784,0.469085842,0
10240013,2016,11,-0.911496306,-0.014398561,0
10240013,2016,12,-0.818142986,-1.210119847,0
10240013,2017,1,-0.693510671,-1.213986663,0
10240013,2017,2,-1.176163512,-0.41561241,0.001289191
10240013,2017,3,-0.158145561,-0.293264962,0.21870249
10240013,2017,4,0.784126566,0.197166374,0
10240013,2017,5,0.328753281,0.655271218,0
10240013,2017,6,1.364406387,1.23521794,0
10240013,2017,7,0.244425333,1.394883777,0
10240013,2017,8,0.03561481,1.062697758,0.034458094
10240013,2017,9,-0.461829385,1.095061975,0.183931172
10240013,2017,10,1.306144967,0.349986564,0
10240013,2017,11,-1.165353325,-0.410880488,0
10240013,2017,12,-1.182917579,-1.00005613,0
10240013,2018,1,-0.948864233,-1.401373046,0
10240013,2018,2,-0.765726586,-1.16179283,0
10240013,2018,3,-0.550370786,-0.520460971,0.243021532
10240013,2018,4,-0.969767706,-0.217157887,0.502903507
10240013,2018,5,0.222258994,1.150308495,0.528631803
10240013,2018,6,0.715962323,1.294404297,0.595694745
10240013,2018,7,-0.219734467,1.355486198,1.182493467
10240013,2018,8,1.669148158,1.285756503,0.984135562
10240013,2018,9,0.993092996,0.917595577,0.446346783
10240013,2018,10,1.679975649,0.100532219,0
10240013,2018,11,-0.592170657,-0.884164568,0
10240013,2018,12,-0.371602957,-0.946496399,0
10240013,2019,1,-0.643396787,-1.321820239,0
10240013,2019,2,-0.485148889,-1.536424615,0
10240013,2019,3,0.275149465,-0.797492321,0
10240013,2019,4,-0.525162383,0.280998515,0
10240013,2019,5,3.621383341,0.451687474,0
10240013,2019,6,0.380897255,1.085533843,0
10240013,2019,7,0.279183463,1.354369523,0
10240013,2019,8,0.946310454,1.100547575,0
10240013,2019,9,1.823625575,1.082761231,0
10240013,2019,10,0.432320003,0.040317069,0
10240013,2019,11,-1.025589723,-0.647507746,0
10240013,2019,12,-0.713010963,-0.800348965,0
10240013,2020,1,-0.615955872,-1.21943574,0
10240013,2020,2,-1.285890435,-0.941797243,0
10240013,2020,3,-0.328404238,-0.245281423,0
10240013,2020,4,-0.209729337,0.110841189,0
10240013,2020,5,1.284068328,0.460068548,0
10240013,2020,6,0.220552927,1.273788607,0
10240013,2020,7,2.092565396,1.351385246,0.185726288
10240013,2020,8,-0.980216526,1.250564484,0.016373258
10240013,2020,9,-0.154123083,0.754701226,0.024492693
10240013,2020,10,-0.882020087,0.056685937,0.117116173
10240013,2020,11,-0.199915373,-0.074098879,0.348001419
10240013,2020,12,-0.723690422,-0.88000008,0.278594703
10240013,2021,1,-0.730003798,-1.147013835,0.001909211
10240013,2021,2,-1.096071148,-1.688681481,0
10240013,2021,3,0.575127567,-0.110653501,0
10240013,2021,4,-0.467282729,0.155127742,0
10240013,2021,5,0.745441152,0.55414582,0
10240013,2021,6,1.108992324,1.285737317,0.256496867
10240013,2021,7,0.582453139,1.279814109,0
10240013,2021,8,0.203265811,1.310700479,0
10240013,2021,9,-0.845861872,1.134902017,0
10240013,2021,10,1.196498866,0.43684237,0
10240013,2021,11,-0.629818788,-0.261633844,0
10240013,2021,12,-1.217139024,-0.52008422,0
10240013,2022,1,-1.008684419,-1.371786107,0
10240013,2022,2,-1.259097868,-0.92850279,0
10240013,2022,3,-0.196389423,-0.341225302,0.061403792
